open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1644912000000,43691.57000000,44198.99000000,43608.67000000,43987.97000000,3872.23802000,1644915599999,170042580.79389770,63472,1942.26136000,85285481.26512300,0
1644915600000,43987.97000000,44117.07000000,43829.88000000,44056.02000000,1877.98340000,1644919199999,82566223.60741930,50194,960.77513000,42250056.72737290,0
1644919200000,44056.01000000,44371.71000000,43966.81000000,44270.01000000,2146.43457000,1644922799999,94820084.31593590,54832,1141.02186000,50410377.48137540,0
1644922800000,44270.01000000,44425.85000000,44111.11000000,44233.60000000,1481.66693000,1644926399999,65588682.17075320,40787,733.72458000,32488393.15137030,0
1644926400000,44233.60000000,44349.67000000,44129.49000000,44182.61000000,1376.57383000,1644929999999,60879831.98701330,35997,615.39344000,27219646.24821910,0
1644930000000,44182.60000000,44305.66000000,44024.03000000,44240.69000000,1582.09064000,1644933599999,69916628.06370970,44855,781.22863000,34527191.13442090,0
1644933600000,44240.69000000,44500.00000000,44200.58000000,44249.99000000,2394.49107000,1644937199999,106197180.49679740,48020,1215.83295000,53929271.94840010,0
1644937200000,44250.00000000,44297.87000000,44109.02000000,44198.96000000,1741.42556000,1644940799999,76968930.81676680,41768,910.76138000,40256913.44541760,0
1644940800000,44198.97000000,44259.37000000,44011.00000000,44123.18000000,1533.19927000,1644944399999,67654853.41091150,51456,785.83780000,34672756.96881050,0
1644944400000,44120.00000000,44156.43000000,43846.07000000,43925.00000000,1673.34214000,1644947999999,73560454.35507930,47586,764.82953000,33622360.35831230,0
1644948000000,43924.99000000,44199.79000000,43870.13000000,44128.64000000,1026.58683000,1644951599999,45227087.38519300,29201,541.35107000,23851143.48923110,0
1644951600000,44128.63000000,44131.00000000,43961.59000000,43993.95000000,682.06234000,1644955199999,30038505.03455530,27540,282.09475000,12423920.20912000,0
1644955200000,43993.94000000,44169.63000000,43961.88000000,44140.76000000,1092.26494000,1644958799999,48147529.21422970,33569,516.61313000,22771301.92223290,0
1644958800000,44140.76000000,44162.42000000,43941.28000000,43969.02000000,632.36774000,1644962399999,27841839.72550960,22734,335.18261000,14758375.47690520,0
1644962400000,43969.03000000,44377.92000000,43966.50000000,44169.17000000,1183.90912000,1644965999999,52284729.08292870,38679,715.60495000,31589867.23020170,0
1644966000000,44169.18000000,44751.40000000,44103.71000000,44544.86000000,2099.60748000,1644969599999,93427021.86209510,56076,1200.23427000,53412730.88887910,0
1644969600000,44544.85000000,44549.97000000,44125.00000000,44195.77000000,1229.09601000,1644973199999,54445848.68371270,35776,575.32305000,25487494.17586240,0
1644973200000,44195.77000000,44199.99000000,43945.32000000,43988.69000000,1298.84747000,1644976799999,57238191.33310540,32749,585.73915000,25813043.07226440,0
1644976800000,43988.68000000,44070.10000000,43877.18000000,44068.38000000,1101.63540000,1644980399999,48459301.16396530,38456,539.14977000,23718001.30511740,0
1644980400000,44068.39000000,44150.10000000,43942.27000000,43971.26000000,1162.97705000,1644983999999,51230336.12727410,28958,581.45419000,25623730.86837020,0
1644984000000,43971.27000000,43974.95000000,43673.92000000,43893.67000000,1681.79747000,1644987599999,73667737.42177930,41799,824.09840000,36095047.58775130,0
1644987600000,43893.68000000,44132.96000000,43886.37000000,44056.97000000,801.99252000,1644991199999,35308927.99042370,23496,384.29581000,16917286.75924860,0
1644991200000,44056.97000000,44191.77000000,43998.54000000,44028.14000000,626.78941000,1644994799999,27636390.28617930,21802,288.43570000,12718513.90773230,0
1644994800000,44028.15000000,44191.04000000,43925.23000000,44184.20000000,700.91564000,1644998399999,30871441.53807610,27968,364.07176000,16035329.99130670,0
1644998400000,44184.19000000,44327.55000000,44130.70000000,44147.08000000,1086.86338000,1645001999999,48076217.73010750,32356,511.10395000,22607160.80392060,0
1645002000000,44147.09000000,44236.09000000,43992.99000000,44005.23000000,848.19513000,1645005599999,37426012.74114300,25035,398.65386000,17589983.28222470,0
1645005600000,44005.23000000,44128.13000000,43876.00000000,44111.61000000,975.15668000,1645009199999,42922393.68908440,32741,491.09194000,21617985.38264450,0
1645009200000,44111.61000000,44260.00000000,44107.17000000,44173.15000000,808.63663000,1645012799999,35727295.72884040,28362,396.25912000,17507158.10217440,0
1645012800000,44173.15000000,44214.11000000,43964.42000000,44032.98000000,836.47723000,1645016399999,36867381.38243660,34746,434.44136000,19149375.96255440,0
1645016400000,44032.98000000,44150.00000000,43521.00000000,43637.97000000,2323.12704000,1645019999999,101753411.20422360,68746,1145.89401000,50187200.41231310,0
1645020000000,43637.96000000,43735.99000000,43307.00000000,43490.21000000,2294.37812000,1645023599999,99932847.41340470,67429,1129.76600000,49219173.47599630,0
1645023600000,43490.21000000,43690.00000000,43443.44000000,43598.63000000,1646.18871000,1645027199999,71781750.03134010,38517,929.67943000,40538931.01484950,0
1645027200000,43598.62000000,43740.60000000,43350.00000000,43647.36000000,1259.72552000,1645030799999,54842784.19074020,32491,632.06996000,27517310.82149700,0
